,Incident Date,State,City Or County,Address,# Killed,# Injured,Latitude,Longitude
0,"June 12, 2022",California,Los Angeles,3300 block of E 14th St,3,4,34.0171353,-118.2077596
1,"June 12, 2022",Michigan,Roseville,27000 block of Kelly St,0,4,42.49541269,-82.92769583
2,"June 12, 2022",Indiana,Gary,1700 Grant St,2,4,41.585845,-87.356727
3,"June 12, 2022",Indiana,Indianapolis,9200 block of Sussex Ter,0,5,39.79904301,-86.00543041
4,"June 12, 2022",Colorado,Denver,4600 block of Colorado Ave,2,4,39.6840847,-104.9338379
5,"June 12, 2022",Texas,Austin,12600 block of Oro Valley Trail,1,3,30.4432282,-97.7646498
6,"June 12, 2022",Louisiana,New Orleans,3940 Tulane Ave,0,4,29.967669,-90.10432
7,"June 11, 2022",Michigan,Detroit,13500 block of Cloverlawn Ave,0,4,42.38637033,-83.15175926
8,"June 11, 2022",Kentucky,Louisville,1101 River Rd,0,6,38.261789,-85.737112
9,"June 11, 2022",Tennessee,Antioch,660 Bell Rd,2,2,36.0596743,-86.6400568
10,"June 11, 2022",Illinois,Chicago,8600 block of S Damen Ave,1,4,41.737511,-87.673193
11,"June 11, 2022",Georgia,Atlanta (College Park),6500 block of Woodford Rd,0,7,33.56833471,-84.50160417
12,"June 10, 2022",Georgia,Decatur,2801 Candler Rd,1,3,33.70874,-84.274968
13,"June 9, 2022",Maryland,Smithsburg,12912 Bikle Rd,3,3,39.6696967,-77.5628367
14,"June 8, 2022",Arizona,Yuma,1500 block of S 4th Ave,0,4,32.7011083,-114.6250433
15,"June 7, 2022",Virginia,Portsmouth,1628 Maple Ave,4,0,36.82611,-76.310904
16,"June 7, 2022",Illinois,Chicago,1223 S Lawndale Ave,0,4,41.865438,-87.717486
17,"June 7, 2022",Maryland,Baltimore,5500 block of Plainfield Ave,2,2,39.3359205,-76.5452696
18,"June 7, 2022",Illinois,Chicago,13000 block of S Champlain Ave,0,4,41.65834735,-87.60479265
19,"June 5, 2022",Tennessee,Chattanooga,2125 McCallie Ave,2,12,35.034722,-85.270667
20,"June 5, 2022",Arizona,Mesa,1457 W Southern Ave,2,2,33.392517,-111.862325
21,"June 5, 2022",Michigan,Grand Rapids,Pearl St NW and Ottawa Ave NW,1,3,42.9663779,-85.6701247
22,"June 5, 2022",South Carolina,Andrews,County Line Rd,0,5,33.47588751,-79.55829859
23,"June 5, 2022",Michigan,Saginaw,300 block of S 11th St,3,2,43.4285365,-83.92156115
24,"June 4, 2022",Michigan,Ecorse,3800 block of W Jefferson Ave,0,4,42.257392,-83.139181
25,"June 4, 2022",South Carolina,Summerton,4193 St Paul Rd,1,7,33.5784234,-80.3922661
26,"June 4, 2022",Georgia,Macon,300 Block of Jones Ave,1,3,32.8431417,-83.6130967
27,"June 4, 2022",Texas,El Paso (Socorro),10851 Thunder Rd,0,5,31.65848,-106.2523967
28,"June 4, 2022",Pennsylvania,Philadelphia,200 block of South St,3,11,39.941136,-75.145826
29,"June 4, 2022",Arizona,Phoenix,N 10th Ave and W Hatcher Rd,1,8,33.571252,-112.085357
30,"June 4, 2022",New York,Hempstead,77 Terrace Ave,1,3,40.7102801,-73.630635
31,"June 3, 2022",Nebraska,Omaha,2931 T St,1,3,41.20257382,-95.95703237
32,"June 3, 2022",Virginia,Chester,10960 block of Stepney Rd,1,5,37.374947,-77.431602
33,"June 2, 2022",Texas,Centerville,1696 TX-7 W,6,0,31.25495,-96.00644
34,"June 1, 2022",Oklahoma,Tulsa,6161 S Yale Ave,5,0,36.070601,-95.918312
35,"May 31, 2022",Texas,Waco,1900 block of Preston St,0,4,31.57984763,-97.13675585
